Flow Duration,Total Fwd Packet,Total Bwd packets,Fwd Packet Length Max,Bwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow IAT Mean,Label,Traffic Type
19263.0,1.0,1.0,0.0,0.0,0.0,0.0,19263.0,Malicious,DoS
52990.0,1.0,1.0,500.0,0.0,500.0,0.0,52990.0,Malicious,DoS
9610941.0,5.0,3.0,616.0,707.0,123.2,235.66666666666663,1372991.5714285714,Malicious,DoS
22794.0,1.0,1.0,30.0,0.0,30.0,0.0,22794.0,Malicious,DoS
15122105.0,2.0,0.0,1356.0,0.0,1356.0,0.0,15122105.0,Malicious,DoS
27611755.0,2.0,1.0,500.0,0.0,490.0,0.0,13805877.5,Malicious,DoS
207715.0,1.0,1.0,0.0,827.0,0.0,827.0,207715.0,Malicious,DoS
148717.0,1.0,1.0,1356.0,0.0,1356.0,0.0,148717.0,Malicious,DoS
43194250.0,2.0,1.0,50.0,0.0,50.0,0.0,21597125.0,Malicious,DoS
18005644.0,3.0,0.0,500.0,0.0,500.0,0.0,9002822.0,Malicious,DoS
45094564.0,2.0,0.0,500.0,0.0,500.0,0.0,45094564.0,Malicious,DoS
55744385.0,5.0,0.0,1356.0,0.0,1352.0,0.0,13936096.25,Malicious,DoS
9884547.0,2.0,1.0,0.0,0.0,0.0,0.0,4942273.5,Malicious,Mirai
12100868.0,2.0,1.0,500.0,0.0,500.0,0.0,6050434.0,Malicious,DoS
119774441.0,2875.0,2995.0,517.0,1348.0,1.1725217391304332,160.64407345575987,20407.981087067703,Malicious,Mirai
30710897.0,4.0,1.0,50.0,0.0,45.0,0.0,7677724.25,Malicious,DoS
49292455.0,6.0,0.0,500.0,0.0,496.6666666666667,0.0,9858491.0,Malicious,DoS
40070339.0,2.0,0.0,1356.0,0.0,1356.0,0.0,40070339.0,Malicious,DoS
9221589.0,11.0,5.0,387.0,795.0,211.0909090909091,159.0,614772.6,Malicious,DoS
31517991.0,2.0,0.0,50.0,0.0,50.0,0.0,31517991.0,Malicious,DoS
3211617.0,454.0,440.0,125.0,1348.0,8.940528634361241,1245.1909090909087,3596.4356103023483,Malicious,Bruteforce
13975049.0,2.0,1.0,1356.0,0.0,1356.0,0.0,6987524.5,Malicious,DoS
32062994.0,2.0,0.0,500.0,0.0,500.0,0.0,32062994.0,Malicious,DoS
13346.0,1.0,1.0,49.0,49.0,49.0,49.0,13346.0,Malicious,Bruteforce
3199078.0,2.0,1.0,500.0,500.0,250.0,500.0,1599539.0,Malicious,DoS
42245940.0,2.0,1.0,500.0,0.0,490.0,0.0,21122970.0,Malicious,DoS
50518730.0,9.0,0.0,1368.0,0.0,396.44444444444446,0.0,6314841.25,Malicious,DoS
22438660.0,2.0,1.0,50.0,0.0,40.0,0.0,11219330.0,Malicious,DoS
20110313.0,21.0,33.0,880.0,1056.0,91.80952380952382,66.21212121212123,379439.8679245282,Malicious,Bruteforce
21644582.0,2.0,0.0,50.0,0.0,40.0,0.0,21644582.0,Malicious,DoS
